ID,Label
1,0
2,1
3,1
4,0
5,1
6,0
7,0
8,0
9,1
10,0
11,1
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,0
23,1
24,1
25,0
26,0
27,1
28,1
29,1
30,0
31,0
32,1
33,0
34,0
35,1
36,1
37,0
38,1
39,0
40,1
41,0
42,1
43,0
44,0
45,1
46,1
47,1
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,1
59,1
60,1
61,0
62,1
63,0
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,1
72,0
73,0
74,0
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,0
84,0
85,1
86,0
87,1
88,1
89,0
90,1
91,0
92,0
93,1
94,0
95,1
96,0
97,1
98,1
99,1
100,1
101,0
102,1
103,1
104,0
105,1
106,0
107,0
108,1
109,1
110,1
111,1
112,1
113,0
114,0
115,0
116,0
117,1
118,1
119,0
120,0
121,1
122,1
123,0
124,0
125,1
126,1
127,0
128,0
129,0
130,1
131,0
132,1
133,1
134,0
135,0
136,1
137,0
138,0
139,0
140,0
141,1
142,1
143,0
144,1
145,0
146,1
147,0
148,1
149,0
150,0
151,0
152,1
153,1
154,1
155,0
156,1
157,0
158,1
159,1
160,0
161,0
162,0
163,0
164,0
165,1
166,1
167,0
168,1
169,1
170,1
171,1
172,0
173,0
174,0
175,1
176,0
177,1
178,0
179,0
180,0
181,1
182,0
183,0
184,1
185,0
186,0
187,0
188,0
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,0
199,0
200,0
201,1
202,0
203,0
204,1
205,1
206,1
207,0
208,1
209,0
210,0
211,1
212,1
213,0
214,0
215,1
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,0
228,0
229,0
230,0
231,1
232,0
233,0
234,0
235,1
236,1
237,1
238,0
239,1
240,0
241,0
242,1
243,1
244,0
245,1
246,1
247,1
248,1
249,0
250,0
251,0
252,0
253,0
254,0
255,1
256,0
257,1
258,0
259,1
260,1
261,1
262,0
263,1
264,0
265,0
266,0
267,0
268,1
269,1
270,0
271,1
272,0
273,1
274,0
275,1
276,1
277,1
278,1
279,1
280,1
281,0
282,1
283,0
284,1
285,0
286,0
287,1
288,0
289,0
290,1
291,1
292,0
293,0
294,1
295,0
296,0
297,1
298,0
299,1
300,0
301,0
302,1
303,0
304,0
305,1
306,0
307,0
308,1
309,1
310,1
311,1
312,0
313,1
314,1
315,1
316,0
317,1
318,1
319,1
320,1
321,1
322,0
323,1
324,1
325,0
326,0
327,0
328,1
329,0
330,0
331,1
332,0
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,0
341,0
342,1
343,1
344,0
345,1
346,0
347,1
348,0
349,1
350,0
351,1
352,1
353,0
354,0
355,0
356,1
357,1
358,0
359,1
360,0
361,0
362,1
363,0
364,0
365,1
366,0
367,0
368,0
369,0
370,0
371,1
372,1
373,0
374,0
375,0
376,1
377,0
378,0
379,0
380,1
381,0
382,0
383,0
384,1
385,0
386,1
387,1
388,0
389,0
390,1
391,1
392,1
393,0
394,1
395,1
396,0
397,1
398,1
399,0
400,1
401,0
402,0
403,0
404,0
405,1
406,1
407,0
408,1
409,1
410,1
411,0
412,1
413,1
414,0
415,1
416,0
417,1
418,1
419,1
